date,block,Raw_Frequency,MP_Schedule,MP_Drawal,MP_Demand,CZ_Total_Schedule,CZ_Demand,EZ_Total_Schedule,EZ_Demand,WZ_Total_Schedule,WZ_Demand,ATPS_Gen,SGTP_Gen,SGTS_Gen,SINGHAJI_Gen,Total_Thermal_Gen_Ex_Auxillary,Total_Hydel,Thermal_Hydel_Gen,UI_Rate,Total_IPP_Gen,Solar,Wind,CZ_Demand_Avg,EZ_Demand_Avg,WZ_Demand_Avg,MP_Demand_Avg,ISP_Hydro,OSP_Hydro,date_int
20251101,1,50.01116,4747.67,4659.5,7061.47,1629.54,2327.91,1416.93,1941,2039.16,2832.16,209.7,1283.05,3.99,409.15,1799.63,818.81,2484.19,3.026804,330.98,0,91.52,2327.91,1941,2832.16,7061.47,0.626415,286.97,20251101
20251101,2,49.964285,4592.07,5017.17,7099.24,1511.08,2158.68,1454.39,1992.31,2035.74,2827.42,201.52,1257.6,4.39,410.06,1956.98,723.29,2857.84,3.35003,375.35,0,31.22,2158.68,1992.31,2827.42,7099.24,0.503718,300.55,20251101
20251101,3,49.967981,5462.07,4637.31,7404.14,1673.58,2390.83,1540.46,2110.22,2093.49,2907.63,222.09,1245.26,0.23,388.45,1980.29,811.28,2187.49,3.286354,370.61,0,26.56,2390.83,2110.22,2907.63,7404.14,0.61311,337.07,20251101
20251101,4,49.890167,4856.33,5882.78,7271.72,1667.5,2382.15,1502.47,2058.18,2054.79,2853.87,219.79,1240.92,2.19,419.54,1749.05,791.11,1934.53,3.390644,346.02,0,26.68,2382.15,2058.18,2853.87,7271.72,0.483235,255.13,20251101
20251101,5,50.001945,5340.65,4807.27,7454.27,1661.48,2373.54,1542.47,2112.97,2142.62,2975.86,206.35,1258.35,2.36,417.08,1873.61,834.82,1955.59,3.096124,374.83,0,119.66,2373.54,2112.97,2975.86,7454.27,0.561705,260.35,20251101
20251101,6,49.998085,4917.33,5935.62,7512.87,1678.38,2397.68,1547.86,2120.36,2156.36,2994.95,208.18,1235.59,9.97,385.68,2290.66,883.95,2430.31,3.614882,370.98,0,31.15,2397.68,2120.36,2994.95,7512.87,0.541885,308.59,20251101
20251101,7,50.021365,5158.21,4557.64,7467.81,1664.55,2377.93,1498.1,2052.19,2111.76,2933,216.83,1275.34,4.83,403.26,1731.05,796.55,2225.38,3.411709,398.81,0,85.42,2377.93,2052.19,2933,7467.81,0.610199,277.6,20251101
20251101,8,49.872195,5870.89,6130.91,7674.57,1696.46,2423.51,1600.55,2192.54,2236.98,3106.91,212.77,1251.03,7.97,384.51,2173.67,742.43,2854.58,3.691479,376.73,0,92.17,2423.51,2192.54,3106.91,7674.57,0.555193,279.45,20251101
20251101,9,49.970223,4672.7,4769.13,7654.89,1730.08,2471.55,1595.79,2186.01,2201.62,3057.8,225.75,1235.42,9.6,390.91,2268.71,862,2330.82,3.739005,390.22,0,76.08,2471.55,2186.01,3057.8,7654.89,0.506335,262.4,20251101
20251101,10,49.904262,5541.41,6107.54,7738.92,1747.19,2495.99,1600.73,2192.78,2178.95,3026.32,208.35,1232.09,6.44,398.85,1946.06,706.45,2145.14,4.047234,337.47,0,17.36,2495.99,2192.78,3026.32,7738.92,0.672513,282.31,20251101
